from,to,time,message
54,55,2017-05-01T08:29:49+09:00,Never tell me the odds! Get off the high road Summer. We all got pink eye because you wouldn't stop texting on the toilet. Yo! What up my glip glops!
55,54,2017-05-27T09:34:44+09:00,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white. I have a bad feeling about this. Pluto's a planet."
54,55,2017-04-24T16:21:13+09:00,"Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together. No reward is worth this."
54,55,2017-04-18T05:42:41+09:00,"Aw, c'mon Rick. That doesn't seem so bad."
54,55,2017-05-08T02:34:43+09:00,I'm the devil. What should I do when I fail? Give myself an ice cream?
54,55,2017-05-24T00:42:57+09:00,WUBBA LUBBA DUB DUBS!!! You will never find a more wretched hive of scum and villainy. We must be cautious.
55,54,2017-05-25T11:06:22+09:00,I find your lack of faith disturbing.
55,54,2017-04-25T18:17:13+09:00,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain. It's not impossible. I used to bullseye womp rats in my T-16 back home, they're not much bigger than two meters. Ohh yea, you gotta get schwifty."
54,55,2017-04-11T13:06:15+09:00,"You do have your moments. Not many, but you have them. Hello Jerry, come to rub my face in urine again? You'll find I'm full of surprises!"
55,54,2017-05-11T21:08:18+09:00,I like what you got. Shut him up or shut him down.
54,55,2017-05-05T15:06:05+09:00,"WUBBA LUBBA DUB DUBS!!! You're like Hitler, except...Hitler cared about Germany, or something. Who's the more foolish; the fool, or the fool who follows him?"
55,54,2017-04-15T22:33:30+09:00,"You're like Hitler, except...Hitler cared about Germany, or something."
54,55,2017-05-10T16:39:07+09:00,"Hello Jerry, come to rub my face in urine again? No reward is worth this."
55,54,2017-05-26T17:56:25+09:00,"Truly wonderful, the mind of a child is."
55,54,2017-04-20T11:44:46+09:00,He's not a hot girl. He can't just bail on his life and set up shop in someone else's.
54,55,2017-05-20T12:52:36+09:00,I'm the devil. What should I do when I fail? Give myself an ice cream?
55,54,2017-05-18T04:57:54+09:00,"Adventure. Excitement. A Jedi craves not these things. Strike me down, and I will become more powerful than you could possibly imagine. You know, that little droid is going to cause me a lot of trouble."
55,54,2017-05-22T02:13:04+09:00,"Only at the end do you realize the power of the Dark Side. You're our boy dog, don't even trip. You will never find a more wretched hive of scum and villainy. We must be cautious."
55,54,2017-04-24T18:29:01+09:00,I find your lack of faith disturbing.
55,54,2017-04-05T11:59:40+09:00,"If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed. You do have your moments. Not many, but you have them."
54,55,2017-04-04T11:49:52+09:00,"If you're saying that coming here was a bad idea, I'm starting to agree with you. I have a bad feeling about this. You're like Hitler, except...Hitler cared about Germany, or something."
54,55,2017-04-24T00:07:20+09:00,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later. Do. Or do not. There is no try."
55,54,2017-04-16T13:34:39+09:00,"You're our boy dog, don't even trip. You know, that little droid is going to cause me a lot of trouble."
55,54,2017-04-22T07:05:43+09:00,Shut him up or shut him down. You will never find a more wretched hive of scum and villainy. We must be cautious.
54,55,2017-04-10T23:47:28+09:00,"Judge me by my size, do you?"
55,54,2017-05-22T07:13:14+09:00,"Hello Jerry, come to rub my face in urine again? Now, witness the power of this fully operational battle station."
55,54,2017-04-05T02:39:31+09:00,"You'll find I'm full of surprises! You know, that little droid is going to cause me a lot of trouble. I like what you got."
55,54,2017-04-30T09:55:06+09:00,"Strike me down, and I will become more powerful than you could possibly imagine."
54,55,2017-05-07T00:44:49+09:00,Shut him up or shut him down.
54,55,2017-05-09T19:27:39+09:00,"If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed."
54,55,2017-05-11T01:36:43+09:00,"That is why you fail. Hello Jerry, come to rub my face in urine again?"
54,55,2017-04-03T20:27:04+09:00,"Who's the more foolish; the fool, or the fool who follows him? Truly wonderful, the mind of a child is."
54,55,2017-04-02T02:13:38+09:00,Adventure. Excitement. A Jedi craves not these things. Never tell me the odds!
54,55,2017-04-22T16:15:04+09:00,I have a bad feeling about this.
55,54,2017-05-27T21:38:03+09:00,"Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together. Judge me by my size, do you?"
54,55,2017-04-17T10:21:36+09:00,"Yo! What up my glip glops! I don't get it and I don't need to. Judge me by my size, do you?"
55,54,2017-04-24T12:45:44+09:00,"Fear is the path to the dark side... fear leads to anger... anger leads to hate... hate leads to suffering. Judge me by my size, do you?"
55,54,2017-05-17T16:03:45+09:00,"You know, that little droid is going to cause me a lot of trouble."
54,55,2017-05-11T21:01:00+09:00,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid? WUBBA LUBBA DUB DUBS!!!"
54,55,2017-05-21T11:39:44+09:00,Don’t even trip dawg.
55,54,2017-05-21T10:28:28+09:00,"If you're saying that coming here was a bad idea, I'm starting to agree with you. Adventure. Excitement. A Jedi craves not these things."
55,54,2017-04-01T04:51:08+09:00,"Wars not make one great. There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
55,54,2017-04-08T16:54:00+09:00,"You're our boy dog, don't even trip."
54,55,2017-04-21T17:57:23+09:00,"I like what you got. I'm the devil. What should I do when I fail? Give myself an ice cream? Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain."
54,55,2017-04-04T06:50:12+09:00,"Aww, gee, you got me there Rick. Adventure. Excitement. A Jedi craves not these things. If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed."
55,54,2017-04-17T21:06:47+09:00,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
54,56,2017-04-30T16:40:17+09:00,"Bounty hunters! We don't need this scum. If you're saying that coming here was a bad idea, I'm starting to agree with you. Fear is the path to the dark side... fear leads to anger... anger leads to hate... hate leads to suffering."
56,54,2017-05-26T05:28:16+09:00,"Don’t even trip dawg. Never tell me the odds! Well, you said you wanted to be around when I made a mistake."
54,56,2017-04-18T10:01:17+09:00,Shut him up or shut him down.
54,56,2017-04-08T10:38:11+09:00,"This isn't Game of Thrones, Morty. Snuffles was my slave name, you can call me snowball because my fur is pretty and white."
56,54,2017-04-17T15:12:34+09:00,"Ohh yea, you gotta get schwifty."
54,56,2017-04-18T08:32:02+09:00,"Now, witness the power of this fully operational battle station. It's not impossible. I used to bullseye womp rats in my T-16 back home, they're not much bigger than two meters. I find your lack of faith disturbing."
56,54,2017-04-11T14:27:21+09:00,"It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal."
54,56,2017-04-15T21:58:20+09:00,"Who's the more foolish; the fool, or the fool who follows him?"
54,56,2017-04-18T12:13:04+09:00,I like what you got. Only at the end do you realize the power of the Dark Side. Shut him up or shut him down.
54,56,2017-05-05T12:45:07+09:00,"Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together. Truly wonderful, the mind of a child is."
54,56,2017-04-03T21:34:08+09:00,"Hello Jerry, come to rub my face in urine again? Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid? He's not a hot girl. He can't just bail on his life and set up shop in someone else's."
54,56,2017-04-28T23:07:27+09:00,"I have a bad feeling about this. You know, that little droid is going to cause me a lot of trouble. Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together."
54,56,2017-04-16T09:05:05+09:00,"Never tell me the odds! Aww, gee, you got me there Rick."
56,54,2017-04-10T09:02:43+09:00,I'm the devil. What should I do when I fail? Give myself an ice cream? I like what you got.
56,54,2017-05-04T12:02:36+09:00,"Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together."
56,54,2017-04-06T22:04:15+09:00,I have a bad feeling about this. Never tell me the odds!
54,56,2017-05-02T07:44:09+09:00,"Would somebody get this big walking carpet out of my way? You're our boy dog, don't even trip. If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed."
56,54,2017-05-07T11:34:30+09:00,"You know, that little droid is going to cause me a lot of trouble. If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed. Do. Or do not. There is no try."
56,54,2017-04-23T01:26:50+09:00,"Go home and drink, grandpa. I find your lack of faith disturbing. If you're saying that coming here was a bad idea, I'm starting to agree with you."
56,54,2017-05-18T04:39:59+09:00,I'm the devil. What should I do when I fail? Give myself an ice cream?
56,54,2017-05-16T02:02:10+09:00,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
56,54,2017-05-04T18:47:44+09:00,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid?"
54,56,2017-04-20T06:30:58+09:00,"Would somebody get this big walking carpet out of my way? Snuffles was my slave name, you can call me snowball because my fur is pretty and white. Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together."
54,56,2017-05-13T14:23:46+09:00,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid? That is why you fail. Aren't you a little short for a Stormtrooper?"
54,56,2017-04-25T02:44:43+09:00,Yo! What up my glip glops!
56,54,2017-04-16T12:50:39+09:00,"Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together."
56,54,2017-04-04T07:44:30+09:00,"That is why you fail. You'll find I'm full of surprises! Judge me by my size, do you?"
56,54,2017-04-18T03:16:18+09:00,"A Jedi uses the Force for knowledge and defense, never for attack. Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain."
54,56,2017-04-03T03:19:02+09:00,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white. Aw, c'mon Rick. That doesn't seem so bad. I don't get it and I don't need to."
56,54,2017-04-16T02:46:59+09:00,Wars not make one great.
56,54,2017-05-15T04:41:29+09:00,"You're like Hitler, except...Hitler cared about Germany, or something. Ohh yea, you gotta get schwifty. Aw, c'mon Rick. That doesn't seem so bad."
56,54,2017-05-21T12:41:22+09:00,WUBBA LUBBA DUB DUBS!!! HI! I'M MR MEESEEKS! LOOK AT ME! That is why you fail.
56,54,2017-04-20T11:50:45+09:00,"WUBBA LUBBA DUB DUBS!!! You know, that little droid is going to cause me a lot of trouble."
54,56,2017-05-25T22:11:03+09:00,"Go home and drink, grandpa. Judge me by my size, do you?"
56,54,2017-04-25T16:02:23+09:00,Shut him up or shut him down. That is why you fail.
56,54,2017-05-13T17:41:13+09:00,"I'm the devil. What should I do when I fail? Give myself an ice cream? There is no god, Summer; gotta rip that band-aid off now you'll thank me later. It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal."
56,54,2017-04-20T15:54:47+09:00,"You are unwise to lower your defenses! Judge me by my size, do you?"
56,54,2017-04-24T13:17:55+09:00,You are unwise to lower your defenses!
54,56,2017-05-20T06:41:56+09:00,"HI! I'M MR MEESEEKS! LOOK AT ME! There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
57,54,2017-05-15T06:02:58+09:00,"A Jedi uses the Force for knowledge and defense, never for attack."
54,57,2017-05-16T21:06:53+09:00,"Well, you said you wanted to be around when I made a mistake."
57,54,2017-05-18T18:25:21+09:00,"R2-D2, you know better than to trust a strange computer! Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together. Hello Jerry, come to rub my face in urine again?"
57,54,2017-05-17T06:05:42+09:00,"It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal. This isn't Game of Thrones, Morty. Now, witness the power of this fully operational battle station."
54,57,2017-05-09T12:18:41+09:00,"Judge me by my size, do you?"
57,54,2017-04-27T14:21:15+09:00,Get off the high road Summer. We all got pink eye because you wouldn't stop texting on the toilet. You are unwise to lower your defenses!
57,54,2017-05-04T01:37:38+09:00,"Wars not make one great. If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed."
57,54,2017-04-30T15:53:59+09:00,"Who's the more foolish; the fool, or the fool who follows him?"
54,57,2017-04-20T11:26:24+09:00,That is why you fail.
54,57,2017-04-26T10:31:08+09:00,"You do have your moments. Not many, but you have them."
54,57,2017-04-16T10:59:09+09:00,"This isn't Game of Thrones, Morty. Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together. Judge me by my size, do you?"
57,54,2017-04-27T09:06:33+09:00,"If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed. A Jedi uses the Force for knowledge and defense, never for attack. You're our boy dog, don't even trip."
57,54,2017-05-25T22:58:52+09:00,"You will never find a more wretched hive of scum and villainy. We must be cautious. Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together. Truly wonderful, the mind of a child is."
54,57,2017-04-06T22:53:15+09:00,"HI! I'M MR MEESEEKS! LOOK AT ME! If you're saying that coming here was a bad idea, I'm starting to agree with you."
54,57,2017-05-13T16:35:51+09:00,"Aw, c'mon Rick. That doesn't seem so bad. Snuffles was my slave name, you can call me snowball because my fur is pretty and white. Never tell me the odds!"
57,54,2017-05-13T03:02:01+09:00,"Now, witness the power of this fully operational battle station. He's not a hot girl. He can't just bail on his life and set up shop in someone else's."
54,57,2017-05-11T22:49:42+09:00,"You will never find a more wretched hive of scum and villainy. We must be cautious. Ohh yea, you gotta get schwifty. You know, that little droid is going to cause me a lot of trouble."
54,57,2017-05-02T02:35:04+09:00,"Sometimes science is a lot more art, than science. A lot of people don't get that. Wars not make one great. R2-D2, you know better than to trust a strange computer!"
57,54,2017-05-28T22:16:23+09:00,I find your lack of faith disturbing.
54,57,2017-04-24T08:25:24+09:00,"I don't get it and I don't need to. This isn't Game of Thrones, Morty. Don’t even trip dawg."
57,54,2017-05-01T07:46:32+09:00,Never tell me the odds!
54,57,2017-04-09T06:05:26+09:00,"Now, witness the power of this fully operational battle station. You do have your moments. Not many, but you have them. Never tell me the odds!"
54,57,2017-04-11T23:15:30+09:00,"I'm the devil. What should I do when I fail? Give myself an ice cream? Aw, c'mon Rick. That doesn't seem so bad."
57,54,2017-05-10T21:36:43+09:00,He's not a hot girl. He can't just bail on his life and set up shop in someone else's.
57,54,2017-04-10T19:01:20+09:00,"Bounty hunters! We don't need this scum. You do have your moments. Not many, but you have them."
57,54,2017-04-29T13:03:50+09:00,"Now, witness the power of this fully operational battle station."
54,57,2017-04-12T02:49:27+09:00,"Go home and drink, grandpa. HI! I'M MR MEESEEKS! LOOK AT ME! Fear is the path to the dark side... fear leads to anger... anger leads to hate... hate leads to suffering."
54,57,2017-05-04T19:49:01+09:00,"Aw, c'mon Rick. That doesn't seem so bad. He's not a hot girl. He can't just bail on his life and set up shop in someone else's."
54,57,2017-05-24T11:18:32+09:00,"Adventure. Excitement. A Jedi craves not these things. Strike me down, and I will become more powerful than you could possibly imagine."
54,57,2017-05-20T11:19:24+09:00,Never tell me the odds! Adventure. Excitement. A Jedi craves not these things.
54,57,2017-05-16T04:50:33+09:00,I have a bad feeling about this. Only at the end do you realize the power of the Dark Side.
54,57,2017-05-16T19:08:51+09:00,Aren't you a little short for a Stormtrooper? Fear is the path to the dark side... fear leads to anger... anger leads to hate... hate leads to suffering.
54,57,2017-04-29T04:33:16+09:00,You are unwise to lower your defenses!
57,54,2017-04-13T11:56:25+09:00,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain. You're our boy dog, don't even trip."
54,57,2017-04-20T12:02:24+09:00,I'm the devil. What should I do when I fail? Give myself an ice cream?
54,57,2017-05-23T17:34:55+09:00,"If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed. Aren't you a little short for a Stormtrooper?"
57,54,2017-05-11T14:34:51+09:00,You'll find I'm full of surprises!
54,57,2017-05-01T06:28:36+09:00,"Now, witness the power of this fully operational battle station."
57,54,2017-04-26T20:30:39+09:00,"You will never find a more wretched hive of scum and villainy. We must be cautious. Ohh yea, you gotta get schwifty. Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together."
54,57,2017-04-25T12:51:13+09:00,"It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal."
57,54,2017-05-27T17:37:08+09:00,"Only at the end do you realize the power of the Dark Side. I don't get it and I don't need to. There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
57,54,2017-04-11T12:03:40+09:00,"Strike me down, and I will become more powerful than you could possibly imagine."
57,54,2017-05-11T22:38:02+09:00,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid? Truly wonderful, the mind of a child is. You'll find I'm full of surprises!"
54,57,2017-03-31T11:39:59+09:00,"Judge me by my size, do you? If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed."
57,54,2017-04-13T02:29:08+09:00,You will never find a more wretched hive of scum and villainy. We must be cautious.
57,54,2017-04-06T06:45:17+09:00,Aren't you a little short for a Stormtrooper?
54,57,2017-04-21T20:07:23+09:00,Aren't you a little short for a Stormtrooper?
54,57,2017-05-11T08:44:27+09:00,"Who's the more foolish; the fool, or the fool who follows him? You are unwise to lower your defenses!"
54,57,2017-04-27T22:17:48+09:00,"Sometimes science is a lot more art, than science. A lot of people don't get that."
54,58,2017-04-14T19:04:02+09:00,"If you're saying that coming here was a bad idea, I'm starting to agree with you."
54,58,2017-04-25T11:55:44+09:00,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
58,54,2017-04-17T18:17:28+09:00,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain."
58,54,2017-03-30T07:21:47+09:00,"I have a bad feeling about this. Strike me down, and I will become more powerful than you could possibly imagine. Would somebody get this big walking carpet out of my way?"
58,54,2017-05-06T09:16:11+09:00,Pluto's a planet. Would somebody get this big walking carpet out of my way?
58,54,2017-04-09T07:43:48+09:00,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid? This isn't Game of Thrones, Morty."
58,54,2017-04-19T11:28:04+09:00,Aren't you a little short for a Stormtrooper?
54,58,2017-04-26T00:10:23+09:00,"Aww, gee, you got me there Rick. Sometimes science is a lot more art, than science. A lot of people don't get that. Get off the high road Summer. We all got pink eye because you wouldn't stop texting on the toilet."
54,58,2017-05-12T09:44:15+09:00,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid?"
58,54,2017-05-07T03:23:08+09:00,"Well, you said you wanted to be around when I made a mistake."
58,54,2017-05-14T15:13:19+09:00,"I like what you got. Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid? There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
58,54,2017-04-03T00:16:35+09:00,"You know, that little droid is going to cause me a lot of trouble."
58,54,2017-04-28T16:02:45+09:00,"You do have your moments. Not many, but you have them. This isn't Game of Thrones, Morty. Would somebody get this big walking carpet out of my way?"
58,54,2017-04-11T17:17:51+09:00,I find your lack of faith disturbing.
54,58,2017-04-23T03:25:44+09:00,Aren't you a little short for a Stormtrooper?
54,58,2017-05-19T08:29:54+09:00,"If you're saying that coming here was a bad idea, I'm starting to agree with you."
54,58,2017-05-05T06:55:15+09:00,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid? Well, you said you wanted to be around when I made a mistake."
58,54,2017-04-10T14:24:03+09:00,"Sometimes science is a lot more art, than science. A lot of people don't get that. Who's the more foolish; the fool, or the fool who follows him?"
54,58,2017-05-18T01:43:04+09:00,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid? You're like Hitler, except...Hitler cared about Germany, or something."
58,54,2017-05-20T23:40:03+09:00,"I have a bad feeling about this. Who's the more foolish; the fool, or the fool who follows him?"
58,54,2017-04-23T23:32:31+09:00,"Pluto's a planet. Sometimes science is a lot more art, than science. A lot of people don't get that. Well, you said you wanted to be around when I made a mistake."
58,54,2017-05-04T09:16:36+09:00,"Now, witness the power of this fully operational battle station."
54,58,2017-04-02T07:46:56+09:00,"You will never find a more wretched hive of scum and villainy. We must be cautious. You know, that little droid is going to cause me a lot of trouble."
58,54,2017-05-15T02:09:36+09:00,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain."
54,58,2017-04-09T15:26:53+09:00,"That is why you fail. Aw, c'mon Rick. That doesn't seem so bad. Judge me by my size, do you?"
58,54,2017-05-12T02:06:53+09:00,Do. Or do not. There is no try.
58,54,2017-04-29T12:24:51+09:00,"It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal."
0,54,2017-05-06T16:57:43+09:00,You are unwise to lower your defenses!
0,54,2017-04-18T17:27:51+09:00,"Aww, gee, you got me there Rick. Get off the high road Summer. We all got pink eye because you wouldn't stop texting on the toilet."
0,54,2017-05-02T02:49:27+09:00,"He's not a hot girl. He can't just bail on his life and set up shop in someone else's. Strike me down, and I will become more powerful than you could possibly imagine. I like what you got."
54,0,2017-03-30T12:47:19+09:00,You will never find a more wretched hive of scum and villainy. We must be cautious. Don’t even trip dawg.
0,54,2017-04-03T10:53:45+09:00,"Go home and drink, grandpa. I'm the devil. What should I do when I fail? Give myself an ice cream?"
54,0,2017-03-30T15:45:41+09:00,"Go home and drink, grandpa."
54,0,2017-05-24T00:55:57+09:00,"Hello Jerry, come to rub my face in urine again?"
54,0,2017-04-22T09:44:03+09:00,"If they follow standard Imperial procedure, they'll dump their garbage before they go to light-speed. Aren't you a little short for a Stormtrooper? I have a bad feeling about this."
54,0,2017-04-06T03:16:55+09:00,Shut him up or shut him down.
0,54,2017-04-02T22:54:04+09:00,"You will never find a more wretched hive of scum and villainy. We must be cautious. You know, that little droid is going to cause me a lot of trouble."
54,0,2017-04-15T11:17:18+09:00,Aren't you a little short for a Stormtrooper?
0,54,2017-05-13T19:14:59+09:00,"Never tell me the odds! Aw, c'mon Rick. That doesn't seem so bad. You will never find a more wretched hive of scum and villainy. We must be cautious."
